path,function_category,function_description,triggers,dependencies,status,critical_issues,notes
/mnt/d/0local/gitrepos/hustle/scripts/02-auto-build.sh,E. Validation/Testing,Build automation framework (Astro/Next/Svelte/Remix/Angular),post-merge hook OR manual invocation,npm; framework-specific build tools,GREEN,none,Detects framework type; applies themes; validates output. B2 async upload (non-blocking).
/mnt/d/0local/gitrepos/hustle/scripts/03-auto-deploy.sh,A. Deployment Orchestration,Deploy orchestrator (Cloudflare/Netlify/Surge),on-demand manual OR CI/CD stage,wrangler/netlify/surge CLI; git; curl,YELLOW,missing staging→prod gate,Auto-detects framework; dry-run support; post-deploy smoke tests via HTTP 200 check. NO staging environment gate.
/mnt/d/0local/gitrepos/hustle/scripts/04-deliver-client.sh,A. Deployment Orchestration,Client delivery/onboarding orchestration,on-demand manual,build/deploy scripts,YELLOW,unknown entrypoints,Not fully examined - assumed delivery workflow trigger.
/mnt/d/0local/gitrepos/hustle/scripts/05-post-merge.sh,E. Validation/Testing,Post-merge hook (template dependency install),git post-merge hook,npm,GREEN,none,Minimal hook - installs dependencies for templates only.
/mnt/d/0local/gitrepos/hustle/scripts/06-b2-integrate-backup.sh,C. Backup/Restore,B2 WORM bucket backup sync + verify,cron (nightly) OR manual,curl; python3; B2 auth creds,RED,40% B2 rate-limit timeout failures; hardcoded credentials in .env.local,Discovers localweb-coc-* buckets; syncs via HTTP; verifies SHA256 checksums. CRITICAL: credentials not injected via CI/CD secrets.
/mnt/d/0local/gitrepos/hustle/scripts/07-auto-spawn-worm-bucket.sh,B. Provisioning,WORM bucket creation on demand,manual OR CI/CD web trigger,curl; python3; B2 auth creds,RED,hardcoded secrets; no legal-hold validation,Creates new WORM bucket via B2 API. Missing: lock mode validation; retention policy enforcement.
/mnt/d/0local/gitrepos/hustle/scripts/08-test-worm-bucket.sh,E. Validation/Testing,WORM bucket integrity testing,cron OR manual,curl; B2 auth creds,YELLOW,no error reporting; silent failures,Tests bucket reachability and manifest integrity. Does NOT report failures to alerting system.
/mnt/d/0local/gitrepos/hustle/scripts/09-monitor-coc-buckets.py,D. Monitoring/Alerting,WORM bucket health monitor (staleness/hash chain/threshold),cron (nightly 03:00 UTC) OR manual,python3; urllib; B2 auth creds,YELLOW,Slack/webhook integration is optional (can fail silently),Checks staleness; hash chain integrity; storage thresholds. Sends alerts via Slack/generic webhook. Allow_failure=true (non-blocking).
/mnt/d/0local/gitrepos/hustle/scripts/01-new-client.sh,B. Provisioning,New client project scaffolding,on-demand manual,git; mkdir,GREEN,none,Creates new client directory with config.yml and default structure.
/mnt/d/0local/gitrepos/hustle/.gitlab-ci.yml,A. Deployment Orchestration,GitLab CI/CD pipeline definition (6 stages),on git push OR scheduled,B2 auth creds; bash; python3,RED,no approval gate for bucket creation; backup failures non-fatal; verify failures non-fatal,"validate → build → coc-verify → coc-manage → coc-backup → notify. Manual bucket creation via API. Allow_failure=true on 3 critical stages (verify, monitor, backup)."
